         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 masked.py:1(<module>)
      120    0.000    0.000    0.003    0.000 frame.py:1933(to_numpy)
     1410    0.002    0.000    0.003    0.000 inspect.py:2743(__init__)
     1117    0.002    0.000    0.003    0.000 generic.py:278(__init__)
     1288    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      244    0.001    0.000    0.003    0.000 base.py:842(_engine)
      111    0.001    0.000    0.003    0.000 <frozen abc>:105(__new__)
      368    0.002    0.000    0.003    0.000 managers.py:1012(iget)
      849    0.002    0.000    0.003    0.000 base.py:649(_simple_new)
      120    0.000    0.000    0.003    0.000 managers.py:1633(as_array)
      599    0.000    0.000    0.003    0.000 typing.py:730(<genexpr>)
       98    0.000    0.000    0.003    0.000 docscrape.py:362(_parse_summary)
      120    0.000    0.000    0.003    0.000 base.py:4436(_wrap_reindex_result)
      519    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
      501    0.001    0.000    0.003    0.000 functools.py:35(update_wrapper)
      180    0.001    0.000    0.003    0.000 managers.py:1412(_insert_update_blklocs_and_blknos)
      120    0.000    0.000    0.003    0.000 base.py:4440(_maybe_preserve_names)
        1    0.000    0.000    0.003    0.003 _base.py:1435(ExcelFile)
       63    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
      240    0.001    0.000    0.003    0.000 base.py:1146(take)
      974    0.001    0.000    0.003    0.000 common.py:137(is_object_dtype)
        1    0.000    0.000    0.002    0.002 _strptime.py:1(<module>)
      674    0.001    0.000    0.002    0.000 numeric.py:290(full)
     3153    0.001    0.000    0.002    0.000 typing.py:1161(_is_dunder)
      300    0.002    0.000    0.002    0.000 base.py:2744(inferred_type)
      546    0.000    0.000    0.002    0.000 common.py:81(get_op_result_name)
      248    0.001    0.000    0.002    0.000 __init__.py:1611(findCaller)
        2    0.000    0.000    0.002    0.001 datetimelike.py:1(<module>)
       21    0.000    0.000    0.002    0.000 arrayprint.py:496(_get_format_function)
    23487    0.002    0.000    0.002    0.000 fromnumeric.py:3323(_prod_dispatcher)
     1220    0.001    0.000    0.002    0.000 common.py:1571(validate_all_hashable)
     6843    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
    56/15    0.000    0.000    0.002    0.000 typing.py:1326(_determine_new_args)
        3    0.000    0.000    0.002    0.001 construction.py:423(dict_to_mgr)
      311    0.000    0.000    0.002    0.000 docscrape.py:558(dedent_lines)
      360    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
    17468    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    56/15    0.000    0.000    0.002    0.000 typing.py:1355(_make_substitution)
       63    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      542    0.000    0.000    0.002    0.000 expressions.py:226(evaluate)
        1    0.000    0.000    0.002    0.002 _constants.py:1(<module>)
      864    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
1429/1427    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      368    0.000    0.000    0.002    0.000 frame.py:678(_constructor_sliced_from_mgr)
      171    0.000    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
      311    0.001    0.000    0.002    0.000 function_base.py:487(add_newdoc)
      509    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
       21    0.000    0.000    0.002    0.000 arrayprint.py:455(<lambda>)
      439    0.001    0.000    0.002    0.000 docscrape.py:74(read_to_condition)
        7    0.000    0.000    0.002    0.000 enum.py:918(_convert_)
      548    0.001    0.000    0.002    0.000 base.py:3777(get_loc)
      959    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
       19    0.000    0.000    0.002    0.000 _decorators.py:294(decorate)
    13139    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       60    0.001    0.000    0.002    0.000 test_sso.py:95(get_trimming_order)
       21    0.000    0.000    0.002    0.000 arrayprint.py:961(__init__)
       60    0.001    0.000    0.002    0.000 managers.py:1707(_interleave)
      120    0.000    0.000    0.002    0.000 base.py:1250(copy)
       22    0.000    0.000    0.002    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.002    0.002 series.py:263(Series)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
       21    0.001    0.000    0.002    0.000 arrayprint.py:987(fillFormat)
      433    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      554    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       13    0.000    0.000    0.002    0.000 typing.py:2814(__new__)
      180    0.000    0.000    0.002    0.000 frame.py:5242(_sanitize_column)
        2    0.000    0.000    0.002    0.001 readers.py:1575(__init__)
      196    0.000    0.000    0.002    0.000 docscrape.py:216(_read_sections)
      542    0.000    0.000    0.002    0.000 expressions.py:67(_evaluate_standard)
     1167    0.001    0.000    0.002    0.000 base.py:7688(maybe_extract_name)
      180    0.001    0.000    0.002    0.000 numeric.py:1448(moveaxis)
      360    0.001    0.000    0.002    0.000 _function_base_impl.py:5644(append)
      558    0.001    0.000    0.002    0.000 generic.py:807(_set_axis)
      262    0.000    0.000    0.002    0.000 typing.py:317(_deduplicate)
      519    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
      484    0.001    0.000    0.002    0.000 base.py:5170(_get_engine_target)
        2    0.000    0.000    0.002    0.001 readers.py:1848(_make_engine)
     1349    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 array_ops.py:1(<module>)
      349    0.000    0.000    0.002    0.000 {built-in method fromkeys}
      120    0.001    0.000    0.002    0.000 base.py:6219(_raise_if_missing)
        3    0.000    0.000    0.002    0.001 common.py:664(get_handle)
       21    0.000    0.000    0.002    0.000 arrayprint.py:828(_formatArray)
       35    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      496    0.000    0.000    0.002    0.000 generic.py:339(_from_mgr)
        1    0.000    0.000    0.002    0.002 __init__.py:336(Version)
   399/21    0.001    0.000    0.002    0.000 arrayprint.py:837(recurser)
        1    0.000    0.000    0.002    0.002 engines.py:1(<module>)
      120    0.001    0.000    0.002    0.000 utils.py:239(maybe_convert_indices)
     3555    0.001    0.000    0.002    0.000 inference.py:334(is_hashable)
      324    0.001    0.000    0.002    0.000 docscrape.py:174(_is_at_section)
      506    0.001    0.000    0.002    0.000 inspect.py:3029(__init__)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1264(wrap)
        1    0.000    0.000    0.002    0.002 compressors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 array_manager.py:1(<module>)
        3    0.000    0.000    0.002    0.001 dataclasses.py:921(_process_class)
     1528    0.001    0.000    0.002    0.000 enum.py:720(__call__)
        1    0.000    0.000    0.002    0.002 _parser.py:1(<module>)
     7778    0.002    0.000    0.002    0.000 typing.py:1630(<genexpr>)
       14    0.000    0.000    0.002    0.000 core.py:113(doc_note)
        4    0.000    0.000    0.002    0.000 __init__.py:73(import_module)
      248    0.000    0.000    0.002    0.000 __init__.py:988(format)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
      180    0.001    0.000    0.002    0.000 managers.py:1402(_insert_update_mgr_locs)
        1    0.000    0.000    0.002    0.002 _decorators.py:325(wrapper)
        1    0.000    0.000    0.002    0.002 generic.py:3797(to_csv)
       13    0.000    0.000    0.002    0.000 typing.py:2795(_make_nmtuple)
     1296    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1214    0.001    0.000    0.002    0.000 common.py:1434(_is_dtype_type)
        1    0.000    0.000    0.002    0.002 accessor.py:157(StringMethods)
      105    0.000    0.000    0.002    0.000 docscrape.py:205(_read_to_next_section)
        1    0.000    0.000    0.002    0.002 numpy_.py:1(<module>)
      625    0.001    0.000    0.002    0.000 config.py:127(_get_single_key)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 format.py:965(to_csv)
        2    0.000    0.000    0.002    0.001 pytables.py:1(<module>)
     1817    0.001    0.000    0.002    0.000 series.py:831(_values)
      248    0.000    0.000    0.002    0.000 __init__.py:690(format)
        1    0.000    0.000    0.002    0.002 rolling.py:1(<module>)
      432    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
      426    0.001    0.000    0.001    0.000 base.py:82(shape)
      226    0.000    0.000    0.001    0.000 docscrape.py:84(read_to_next_empty_line)
      713    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
     4501    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      799    0.001    0.000    0.001    0.000 blocks.py:2645(maybe_coerce_values)
        1    0.000    0.000    0.001    0.001 getlimits.py:167(_register_known_types)
        2    0.000    0.000    0.001    0.001 _strptime.py:275(__init__)
